,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,-0.2125,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157,-0.9157
11,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,-0.2144,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113,-0.9113
12,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,-0.2213,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912,-0.8912
13,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,-0.2251,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730,-0.8730
14,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,-0.2260,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663,-0.8663
15,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,-0.2269,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592,-0.8592
16,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,-0.2278,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073,-0.8073
17,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,-0.2272,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969,-0.7969
18,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,-0.2263,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859,-0.7859
19,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,-0.2200,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357,-0.7357
